text,category
Bhai Pati mujhe maar raha hai. complaint kaha karu?,Domestic Violence / Safety
Sir Legal services authority contact kaise kare? what should I do?,Legal Aid
Madam Seller sent wrong product and is ignoring me. complaint kaha karu?,Consumer Complaint
Sir What is the weather today? what should I do?,Unknown
"Urgent, Delivery not received but money got deducted.",Consumer Complaint
Builder has not given flat possession.,Property Issue
Department complaint portal me grievance file karna hai.,Public Grievance
Madam Mosquito problem due to sewage. help me,Municipal Issue
Madam Hospital denied treatment. what should I do?,Healthcare Access
"Urgent, Rent agreement issue. complaint kaha karu?",Property Issue
Bhai Nala block hai complaint karni hai. help me,Municipal Issue
Sir NALSA legal aid ke liye apply kaise kare? complaint kaha karu?,Legal Aid
"Urgent, Warranty claim rejected without proper reason. kaise solve hoga?",Consumer Complaint
Madam Shopkeeper is refusing to replace defective product.,Consumer Complaint
Madam Boss ne payment rok diya hai. help me,Labour Dispute
I worked but did not receive payment. what should I do?,Labour Dispute
"Please help, Company salary nahi de rahi hai for two months.",Labour Dispute
"Urgent, Public toilet is very dirty. what should I do?",Municipal Issue
Madam Explain machine learning.,Unknown
"Urgent, Explain machine learning. kaise solve hoga?",Unknown
Sir My pension application is pending. help me,Government Scheme
"Please help, Someone threatened me and I want police help. what should I do?",Police Complaint
Madam Police station complaint kaise kare? what should I do?,Police Complaint
Lease dispute with house owner.,Property Issue
"Please help, My husband is threatening me and I am scared. complaint kaha karu?",Domestic Violence / Safety
"Urgent, I worked but did not receive payment. complaint kaha karu?",Labour Dispute
Sir Someone is blackmailing me online. please guide,Police Complaint
"Urgent, Patient ko emergency ward me nahi liya. help me",Healthcare Access
Sir Public authority is not responding. kaise solve hoga?,Public Grievance
I want to learn Python. please guide,Unknown
Pati mujhe maar raha hai. what should I do?,Domestic Violence / Safety
Bhai मेरा सामान खराब आया है और कंपनी बदल नहीं रही।,Consumer Complaint
Shopkeeper is refusing to replace defective product. what should I do?,Consumer Complaint
"Please help, Municipal complaint kaha kare?",Municipal Issue
Bhai Service center is not repairing my laptop. kaise solve hoga?,Consumer Complaint
"Urgent, Someone threatened me and I want police help. help me",Police Complaint
"Please help, Public service delivery problem. complaint kaha karu?",Public Grievance
"Urgent, Order cancel hua but refund nahi aaya. please guide",Consumer Complaint
"Urgent, I want to learn Python. kaise solve hoga?",Unknown
I bought shoes online and seller is not giving refund. please guide,Consumer Complaint
"Please help, I bought headphones online and seller is not giving refund. help me",Consumer Complaint
Madam Seller sent wrong product and is ignoring me.,Consumer Complaint
Madam Streetlight is not working.,Municipal Issue
"Please help, There is garbage near my house. kaise solve hoga?",Municipal Issue
Bhai Department complaint portal me grievance file karna hai. kaise solve hoga?,Public Grievance
Officer is not taking action on complaint. kaise solve hoga?,Public Grievance
"Urgent, मेरा मोबाइल चोरी हो गया है। kaise solve hoga?",Police Complaint
Madam I need court help but cannot pay lawyer fees. kaise solve hoga?,Legal Aid
Bhai Government hospital refused admission.,Healthcare Access
Subsidy not received. kaise solve hoga?,Government Scheme
"Please help, Health card not accepted. please guide",Healthcare Access
"Please help, Mosquito problem due to sewage. what should I do?",Municipal Issue
"Urgent, I am facing domestic violence at home. complaint kaha karu?",Domestic Violence / Safety
Bhai PF amount company ne nahi diya. please guide,Labour Dispute
My service request is pending for long time. complaint kaha karu?,Public Grievance
"Urgent, How can I get FIR copy? help me",Police Complaint
"Please help, Legal services authority contact kaise kare?",Legal Aid
"Please help, गली में कचरा पड़ा है। please guide",Municipal Issue
Municipal complaint kaha kare? what should I do?,Municipal Issue
Sir Pati mujhe maar raha hai. what should I do?,Domestic Violence / Safety
"Urgent, CPGRAMS complaint kaise kare?",Public Grievance
"Urgent, Road has big potholes. what should I do?",Municipal Issue
"Please help, I am afraid to go back home. please guide",Domestic Violence / Safety
Bhai My bike was stolen yesterday. please guide,Police Complaint
NALSA legal aid ke liye apply kaise kare? kaise solve hoga?,Legal Aid
Sir NALSA legal aid ke liye apply kaise kare? please guide,Legal Aid
Madam How can I get FIR copy? what should I do?,Police Complaint
Madam I want to file a police complaint. help me,Police Complaint
Sir Drainage problem in my street.,Municipal Issue
Landlord not returning security deposit. kaise solve hoga?,Property Issue
Sir Someone is stalking me daily. what should I do?,Domestic Violence / Safety
Madam CPGRAMS complaint kaise kare? help me,Public Grievance
Bhai Officer is not taking action on complaint. please guide,Public Grievance
"Please help, PF amount company ne nahi diya. please guide",Labour Dispute
"Urgent, Fraud hua hai police complaint karni hai. what should I do?",Police Complaint
"Urgent, Builder has not given flat possession. complaint kaha karu?",Property Issue
मुझे अस्पताल में भर्ती नहीं कर रहे। complaint kaha karu?,Healthcare Access
"Urgent, गली में कचरा पड़ा है। complaint kaha karu?",Municipal Issue
Madam Fraud hua hai police complaint karni hai. complaint kaha karu?,Police Complaint
Rent agreement issue. help me,Property Issue
Bhai How to cook pasta? please guide,Unknown
Madam Mera phone chori ho gaya hai. what should I do?,Police Complaint
"Please help, Delivery not received but money got deducted. complaint kaha karu?",Consumer Complaint
"Please help, PF amount company ne nahi diya.",Labour Dispute
Sir I am afraid to go back home.,Domestic Violence / Safety
Bhai I am afraid to go back home. kaise solve hoga?,Domestic Violence / Safety
Madam Order cancel hua but refund nahi aaya. what should I do?,Consumer Complaint
Bhai मेरा मोबाइल चोरी हो गया है।,Police Complaint
Sir Streetlight is not working. kaise solve hoga?,Municipal Issue
Sir Product defective hai aur replacement nahi mil raha. kaise solve hoga?,Consumer Complaint
Madam Tell me a joke. please guide,Unknown
Sir Government department is delaying my application. complaint kaha karu?,Public Grievance
Sir There is garbage near my house. kaise solve hoga?,Municipal Issue
Bhai I feel unsafe at home. help me,Domestic Violence / Safety
Sir Play some music. help me,Unknown
"Please help, सरकारी योजना का लाभ नहीं मिला। what should I do?",Government Scheme
"Please help, Service center is not repairing my phone. what should I do?",Consumer Complaint
"Please help, Someone is blackmailing me online. what should I do?",Police Complaint
"Urgent, Tell me a joke. help me",Unknown
Madam Factory owner is not giving wages. kaise solve hoga?,Labour Dispute
"Please help, I feel unsafe at home. help me",Domestic Violence / Safety
"Urgent, Suggest a good phone under 20000. kaise solve hoga?",Unknown
"Please help, Government department is delaying my application. what should I do?",Public Grievance
I cannot afford a lawyer. complaint kaha karu?,Legal Aid
Madam Rent agreement issue. help me,Property Issue
Bhai Ration card not approved. complaint kaha karu?,Government Scheme
Madam Land dispute with neighbour. help me,Property Issue
Madam Department complaint portal me grievance file karna hai. please guide,Public Grievance
Madam Product defective hai aur replacement nahi mil raha. what should I do?,Consumer Complaint
Sir Rent agreement issue. what should I do?,Property Issue
Sir Clinic overcharged me for treatment. help me,Healthcare Access
"Urgent, मकान मालिक जबरदस्ती निकाल रहा है। help me",Property Issue
Bhai My company fired me without paying dues. please guide,Labour Dispute
मेरा सामान खराब आया है और कंपनी बदल नहीं रही। help me,Consumer Complaint
Mera phone chori ho gaya hai. complaint kaha karu?,Police Complaint
Madam My in-laws are abusing me for dowry. please guide,Domestic Violence / Safety
Madam Service center is not repairing my watch. kaise solve hoga?,Consumer Complaint
Madam Someone threatened me and I want police help. kaise solve hoga?,Police Complaint
Warranty claim rejected without proper reason.,Consumer Complaint
"Urgent, Public toilet is very dirty. complaint kaha karu?",Municipal Issue
Sir Illegal occupation of my land. what should I do?,Property Issue
Bhai Shopkeeper is refusing to replace defective product. what should I do?,Consumer Complaint
Bhai Doctor refused to treat patient.,Healthcare Access
Madam Property registry problem. help me,Property Issue
Sir My company fired me without paying dues. kaise solve hoga?,Labour Dispute
"Urgent, Fraud hua hai police complaint karni hai. kaise solve hoga?",Police Complaint
Bhai Tenant ko ghar se nikal rahe hain.,Property Issue
Sir Ambulance nahi mil rahi hai. what should I do?,Healthcare Access
Mera phone chori ho gaya hai. please guide,Police Complaint
Sir मुझे अस्पताल में भर्ती नहीं कर रहे। help me,Healthcare Access
Bhai Scholarship nahi mili. what should I do?,Government Scheme
"Please help, Company salary nahi de rahi hai for three months. what should I do?",Labour Dispute
Bhai Public service delivery problem. complaint kaha karu?,Public Grievance
Sir Medicine not available in government hospital. help me,Healthcare Access
"Urgent, Aadhaar update problem. what should I do?",Government Scheme
Bhai What is the capital of Japan? help me,Unknown
Madam I cannot afford a lawyer. what should I do?,Legal Aid
Sir DLSA se help kaise milegi? kaise solve hoga?,Legal Aid
Bhai Streetlight is not working. kaise solve hoga?,Municipal Issue
"Urgent, How can I get FIR copy? complaint kaha karu?",Police Complaint
"Please help, PF amount company ne nahi diya. kaise solve hoga?",Labour Dispute
Sir Income certificate application delayed. please guide,Government Scheme
Madam Income certificate application delayed. help me,Government Scheme
Madam I am afraid to go back home. kaise solve hoga?,Domestic Violence / Safety
Madam Public toilet is very dirty. help me,Municipal Issue
Where can I get free legal aid?,Legal Aid
Sir Where can I get free legal aid? help me,Legal Aid
Can poor people get free legal support? complaint kaha karu?,Legal Aid
Madam Nala block hai complaint karni hai. help me,Municipal Issue
Bhai Public service delivery problem. complaint kaha karu?,Public Grievance
Sir I want to report cyber crime. complaint kaha karu?,Police Complaint
Madam Ration card not approved. what should I do?,Government Scheme
"Urgent, Public authority is not responding. help me",Public Grievance
"Urgent, Rent agreement issue. kaise solve hoga?",Property Issue
"Urgent, Land dispute with neighbour. what should I do?",Property Issue
Madam Where can I get free legal aid? help me,Legal Aid
"Please help, What is the weather today?",Unknown
"Please help, There is violence in my house and I need help.",Domestic Violence / Safety
"Urgent, Delivery not received but money got deducted. complaint kaha karu?",Consumer Complaint
Sir Factory owner is not giving wages. please guide,Labour Dispute
"Urgent, Health card not accepted. complaint kaha karu?",Healthcare Access
Madam Boss ne payment rok diya hai. help me,Labour Dispute
Bhai Can poor people get free legal support?,Legal Aid
"Please help, There is garbage near my house.",Municipal Issue
Bhai Write a poem about rain. what should I do?,Unknown
Madam I want to report cyber crime. please guide,Police Complaint
Road has big potholes. help me,Municipal Issue
Sir Employer is delaying my salary again. complaint kaha karu?,Labour Dispute
Bhai Company salary nahi de rahi hai for one month.,Labour Dispute
Aadhaar update problem. help me,Government Scheme
Sir Play some music. complaint kaha karu?,Unknown
"Please help, Caste certificate pending for months. please guide",Government Scheme
Sir Ambulance nahi mil rahi hai. help me,Healthcare Access
"Please help, I want to learn Python. please guide",Unknown
Madam Health card not accepted. complaint kaha karu?,Healthcare Access
Bhai DLSA se help kaise milegi? please guide,Legal Aid
Bhai Income certificate application delayed. kaise solve hoga?,Government Scheme
Government office me complaint kaha kare? kaise solve hoga?,Public Grievance
Bhai Government department is delaying my application. please guide,Public Grievance
Sir मुझे three months से वेतन नहीं मिला है। help me,Labour Dispute
Who won the cricket match? what should I do?,Unknown
My husband is threatening me and I am scared. what should I do?,Domestic Violence / Safety
Sir Write a poem about rain. please guide,Unknown
Sir I need court help but cannot pay lawyer fees. what should I do?,Legal Aid
Madam Someone threatened me and I want police help. complaint kaha karu?,Police Complaint
मुझे मुफ्त कानूनी सहायता चाहिए। what should I do?,Legal Aid
"Please help, Nala block hai complaint karni hai. help me",Municipal Issue
Sir Government hospital refused admission. help me,Healthcare Access
What is the capital of Japan? complaint kaha karu?,Unknown
