text,category
Madam Product defective hai aur replacement nahi mil raha. kaise solve hoga?,Consumer Complaint
Madam Medicine not available in government hospital. please guide,Healthcare Access
Sir Who won the cricket match? help me,Unknown
"Please help, Illegal occupation of my land. what should I do?",Property Issue
"Please help, I want to file a police complaint. what should I do?",Police Complaint
Sir Patient ko emergency ward me nahi liya. kaise solve hoga?,Healthcare Access
"Please help, Partner ne mujhe beat kiya hai. what should I do?",Domestic Violence / Safety
"Please help, Illegal occupation of my land.",Property Issue
"Please help, सरकारी योजना का लाभ नहीं मिला। what should I do?",Government Scheme
Bhai My in-laws are abusing me for dowry. what should I do?,Domestic Violence / Safety
Can poor people get free legal support? complaint kaha karu?,Legal Aid
Madam Scholarship nahi mili. please guide,Government Scheme
"Urgent, I am afraid to go back home. what should I do?",Domestic Violence / Safety
Sir I need court help but cannot pay lawyer fees. what should I do?,Legal Aid
Madam Officer is not taking action on complaint. complaint kaha karu?,Public Grievance
My bike was stolen yesterday. what should I do?,Police Complaint
"Urgent, What is the weather today? complaint kaha karu?",Unknown
Bhai Pati mujhe maar raha hai. kaise solve hoga?,Domestic Violence / Safety
"Urgent, Someone is blackmailing me online. kaise solve hoga?",Police Complaint
"Urgent, Aadhaar update problem. complaint kaha karu?",Government Scheme
Bhai Write a poem about rain. kaise solve hoga?,Unknown
Madam Water supply is dirty in my area. help me,Municipal Issue
Sir Mujhe free lawyer chahiye. help me,Legal Aid
"Urgent, Builder has not given flat possession. help me",Property Issue
Bhai I bought watch online and seller is not giving refund.,Consumer Complaint
"Urgent, CPGRAMS complaint kaise kare?",Public Grievance
Bhai There is garbage near my house. kaise solve hoga?,Municipal Issue
"Urgent, मुझे अस्पताल में भर्ती नहीं कर रहे। help me",Healthcare Access
Bhai Government office me complaint kaha kare?,Public Grievance
Ayushman card se treatment nahi mila. complaint kaha karu?,Healthcare Access
"Please help, सरकारी विभाग जवाब नहीं दे रहा। what should I do?",Public Grievance
Madam I worked but did not receive payment. kaise solve hoga?,Labour Dispute
Madam Land dispute with neighbour. help me,Property Issue
मुझे अस्पताल में भर्ती नहीं कर रहे। kaise solve hoga?,Healthcare Access
Madam Landlord not returning security deposit. help me,Property Issue
"Please help, मुझे मुफ्त कानूनी सहायता चाहिए। help me",Legal Aid
"Urgent, Tenant ko ghar se nikal rahe hain. complaint kaha karu?",Property Issue
Bhai Medicine not available in government hospital.,Healthcare Access
"Please help, Company salary nahi de rahi hai for two months.",Labour Dispute
Sir मुझे मुफ्त कानूनी सहायता चाहिए। complaint kaha karu?,Legal Aid
My in-laws are abusing me for dowry. kaise solve hoga?,Domestic Violence / Safety
Bhai Pati mujhe maar raha hai. complaint kaha karu?,Domestic Violence / Safety
"Please help, Warranty claim rejected without proper reason.",Consumer Complaint
Landlord not returning security deposit. please guide,Property Issue
"Please help, Government department is delaying my application. what should I do?",Public Grievance
"Urgent, Road has big potholes. what should I do?",Municipal Issue
Bhai Order cancel hua but refund nahi aaya. what should I do?,Consumer Complaint
Madam There is violence in my house and I need help.,Domestic Violence / Safety
Bhai My landlord is forcing me to leave. help me,Property Issue
Madam Department complaint portal me grievance file karna hai. help me,Public Grievance
"Urgent, Public toilet is very dirty. complaint kaha karu?",Municipal Issue
Mosquito problem due to sewage.,Municipal Issue
Madam Service center is not repairing my watch. kaise solve hoga?,Consumer Complaint
I want to report cyber crime. complaint kaha karu?,Police Complaint
CPGRAMS complaint kaise kare? help me,Public Grievance
Madam Order cancel hua but refund nahi aaya. what should I do?,Consumer Complaint
Bhai My company fired me without paying dues. please guide,Labour Dispute
"Urgent, My in-laws are abusing me for dowry.",Domestic Violence / Safety
"Please help, Suggest a good phone under 20000. help me",Unknown
Madam Officer is not taking action on complaint. please guide,Public Grievance
Bhai Pati mujhe maar raha hai. complaint kaha karu?,Domestic Violence / Safety
"Please help, Road has big potholes. kaise solve hoga?",Municipal Issue
Service center is not repairing my shoes. kaise solve hoga?,Consumer Complaint
Madam Tenant ko ghar se nikal rahe hain. help me,Property Issue
Sir There is garbage near my house. kaise solve hoga?,Municipal Issue
"Urgent, Employer is delaying my salary again. help me",Labour Dispute
Bhai Property registry problem.,Property Issue
"Urgent, Subsidy not received. complaint kaha karu?",Government Scheme
Madam Seller sent wrong product and is ignoring me.,Consumer Complaint
Bhai Government hospital refused admission.,Healthcare Access
Bhai Scholarship nahi mili. what should I do?,Government Scheme
"Urgent, Landlord not returning security deposit. help me",Property Issue
Sir मुझे many weeks से वेतन नहीं मिला है। kaise solve hoga?,Labour Dispute
"Please help, PF amount company ne nahi diya. please guide",Labour Dispute
Bhai There is violence in my house and I need help. kaise solve hoga?,Domestic Violence / Safety
Landlord not returning security deposit. kaise solve hoga?,Property Issue
"Urgent, Factory owner is not giving wages. what should I do?",Labour Dispute
Madam Employer is delaying my salary again.,Labour Dispute
"Please help, गली में कचरा पड़ा है। help me",Municipal Issue
Sir Write a poem about rain. please guide,Unknown
"Please help, Mera phone chori ho gaya hai.",Police Complaint
"Please help, Who won the cricket match?",Unknown
"Urgent, Public authority is not responding. help me",Public Grievance
My employer has not paid my salary for six months.,Labour Dispute
Public authority is not responding. kaise solve hoga?,Public Grievance
Department complaint portal me grievance file karna hai. complaint kaha karu?,Public Grievance
Madam सरकारी विभाग जवाब नहीं दे रहा। what should I do?,Public Grievance
Bhai Public toilet is very dirty. complaint kaha karu?,Municipal Issue
Can poor people get free legal support? complaint kaha karu?,Legal Aid
DLSA se help kaise milegi? help me,Legal Aid
Bhai Delivery not received but money got deducted. complaint kaha karu?,Consumer Complaint
Shopkeeper is refusing to replace defective product. what should I do?,Consumer Complaint
"Please help, Tell me a joke. kaise solve hoga?",Unknown
Road has big potholes. help me,Municipal Issue
"Please help, What is the weather today?",Unknown
"Please help, Play some music. help me",Unknown
What is the capital of Japan? help me,Unknown
Madam I want to file a police complaint. help me,Police Complaint
How to cook pasta?,Unknown
Bhai Ayushman card se treatment nahi mila. help me,Healthcare Access
Bhai Doctor refused to treat patient. please guide,Healthcare Access
Madam Caste certificate pending for months. complaint kaha karu?,Government Scheme
Sir Nala block hai complaint karni hai.,Municipal Issue
Madam Subsidy not received.,Government Scheme
"Urgent, Mujhe free lawyer chahiye. kaise solve hoga?",Legal Aid
Bhai Police station complaint kaise kare? what should I do?,Police Complaint
Sir My employer has not paid my salary for two months. kaise solve hoga?,Labour Dispute
Scholarship nahi mili. help me,Government Scheme
"Please help, Medicine not available in government hospital. kaise solve hoga?",Healthcare Access
Bhai मकान मालिक जबरदस्ती निकाल रहा है। help me,Property Issue
Service center is not repairing my laptop.,Consumer Complaint
"Please help, Service center is not repairing my washing machine. complaint kaha karu?",Consumer Complaint
Sir Someone is stalking me daily. what should I do?,Domestic Violence / Safety
Sir सरकारी योजना का लाभ नहीं मिला। complaint kaha karu?,Government Scheme
My service request is pending for long time. kaise solve hoga?,Public Grievance
Bhai Overtime ka paisa nahi mila. kaise solve hoga?,Labour Dispute
Bhai PF amount company ne nahi diya. please guide,Labour Dispute
"Urgent, Police station complaint kaise kare?",Police Complaint
Bhai Government department is delaying my application. help me,Public Grievance
Bhai Health card not accepted. please guide,Healthcare Access
"Please help, Illegal occupation of my land. kaise solve hoga?",Property Issue
Fake product mila online order mein. what should I do?,Consumer Complaint
"Urgent, Police station complaint kaise kare? kaise solve hoga?",Police Complaint
मकान मालिक जबरदस्ती निकाल रहा है। kaise solve hoga?,Property Issue
I am facing domestic violence at home. complaint kaha karu?,Domestic Violence / Safety
Scholarship nahi mili. help me,Government Scheme
"Please help, Legal services authority contact kaise kare?",Legal Aid
Madam मेरा मोबाइल चोरी हो गया है। help me,Police Complaint
"Please help, Explain machine learning. what should I do?",Unknown
Madam Order cancel hua but refund nahi aaya. complaint kaha karu?,Consumer Complaint
Madam Property registry problem. help me,Property Issue
"Urgent, Factory owner is not giving wages. kaise solve hoga?",Labour Dispute
Bhai Explain machine learning. complaint kaha karu?,Unknown
Bhai My bike was stolen yesterday. please guide,Police Complaint
Public authority is not responding. kaise solve hoga?,Public Grievance
Play some music. what should I do?,Unknown
Sir Pati mujhe maar raha hai. what should I do?,Domestic Violence / Safety
"Urgent, I want to learn Python. please guide",Unknown
I want to file a police complaint.,Police Complaint
"Please help, Fraud hua hai police complaint karni hai. please guide",Police Complaint
"Urgent, Government department is delaying my application.",Public Grievance
Sir Government hospital refused admission. help me,Healthcare Access
"Please help, PF amount company ne nahi diya.",Labour Dispute
Bhai Medicine not available in government hospital. help me,Healthcare Access
"Please help, Health card not accepted. what should I do?",Healthcare Access
My employer has not paid my salary for many weeks. please guide,Labour Dispute
Bhai Hospital denied treatment. help me,Healthcare Access
Sir Suggest a good phone under 20000. complaint kaha karu?,Unknown
Bhai मेरा सामान खराब आया है और कंपनी बदल नहीं रही। please guide,Consumer Complaint
"Please help, Service center is not repairing my phone. what should I do?",Consumer Complaint
"Urgent, I worked but did not receive payment. complaint kaha karu?",Labour Dispute
"Please help, My husband is threatening me and I am scared. please guide",Domestic Violence / Safety
Bhai Medicine not available in government hospital. kaise solve hoga?,Healthcare Access
"Please help, Drainage problem in my street. help me",Municipal Issue
Rent agreement issue. complaint kaha karu?,Property Issue
"Please help, Municipal complaint kaha kare?",Municipal Issue
Fake product mila online order mein. kaise solve hoga?,Consumer Complaint
"Please help, I cannot afford a lawyer. help me",Legal Aid
Madam I want to file a police complaint. help me,Police Complaint
"Urgent, Fraud hua hai police complaint karni hai. kaise solve hoga?",Police Complaint
"Urgent, I am facing domestic violence at home. complaint kaha karu?",Domestic Violence / Safety
Sir Overtime ka paisa nahi mila. kaise solve hoga?,Labour Dispute
Sir Shopkeeper is refusing to replace defective product. what should I do?,Consumer Complaint
Bhai Ayushman card se treatment nahi mila. kaise solve hoga?,Healthcare Access
"Please help, Someone is blackmailing me online. what should I do?",Police Complaint
Health card not accepted. kaise solve hoga?,Healthcare Access
Madam What is the capital of Japan? complaint kaha karu?,Unknown
Sir Lease dispute with house owner. complaint kaha karu?,Property Issue
Bhai Shopkeeper is refusing to replace defective product. what should I do?,Consumer Complaint
"Urgent, I am facing domestic violence at home. what should I do?",Domestic Violence / Safety
Madam Hospital denied treatment. please guide,Healthcare Access
Patient ko emergency ward me nahi liya. complaint kaha karu?,Healthcare Access
"Urgent, Tenant ko ghar se nikal rahe hain. help me",Property Issue
Sir Ayushman card se treatment nahi mila. help me,Healthcare Access
Sir Factory owner is not giving wages. complaint kaha karu?,Labour Dispute
Madam Warranty claim rejected without proper reason. what should I do?,Consumer Complaint
"Urgent, Partner ne mujhe beat kiya hai. kaise solve hoga?",Domestic Violence / Safety
"Urgent, Caste certificate pending for months. complaint kaha karu?",Government Scheme
Madam Streetlight is not working. what should I do?,Municipal Issue
"Urgent, Delivery not received but money got deducted.",Consumer Complaint
I feel unsafe at home. kaise solve hoga?,Domestic Violence / Safety
Subsidy not received. complaint kaha karu?,Government Scheme
"Urgent, Partner ne mujhe beat kiya hai. help me",Domestic Violence / Safety
"Urgent, Scholarship nahi mili. help me",Government Scheme
Madam I want to report cyber crime. what should I do?,Police Complaint
Madam Boss ne payment rok diya hai. help me,Labour Dispute
"Urgent, Can poor people get free legal support? kaise solve hoga?",Legal Aid
Bhai Fake product mila online order mein.,Consumer Complaint
"Please help, Company salary nahi de rahi hai for many weeks.",Labour Dispute
Tell me a joke. complaint kaha karu?,Unknown
Bhai Drainage problem in my street. complaint kaha karu?,Municipal Issue
"Please help, CPGRAMS complaint kaise kare? what should I do?",Public Grievance
"Please help, Mera phone chori ho gaya hai. complaint kaha karu?",Police Complaint
My husband is threatening me and I am scared. kaise solve hoga?,Domestic Violence / Safety
"Urgent, Suggest a good phone under 20000. please guide",Unknown
I want to file a police complaint.,Police Complaint
"Please help, My husband is threatening me and I am scared. what should I do?",Domestic Violence / Safety
"Urgent, Someone is stalking me daily.",Domestic Violence / Safety
Bhai I want to report cyber crime.,Police Complaint
Bhai There is garbage near my house. complaint kaha karu?,Municipal Issue
"Urgent, How can I get FIR copy? help me",Police Complaint
Madam Officer is not taking action on complaint. help me,Public Grievance
Sir How can I get FIR copy? complaint kaha karu?,Police Complaint
Bhai Tell me a joke. kaise solve hoga?,Unknown
Bhai Public service delivery problem. complaint kaha karu?,Public Grievance
Health card not accepted. what should I do?,Healthcare Access
Patient ko emergency ward me nahi liya. please guide,Healthcare Access
Bhai Service center is not repairing my laptop. kaise solve hoga?,Consumer Complaint
Bhai Fraud hua hai police complaint karni hai. complaint kaha karu?,Police Complaint
"Urgent, Clinic overcharged me for treatment. complaint kaha karu?",Healthcare Access
"Urgent, Where can I get free legal aid? please guide",Legal Aid
"Urgent, Health card not accepted. complaint kaha karu?",Healthcare Access
Mera phone chori ho gaya hai. complaint kaha karu?,Police Complaint
"Please help, Government office me complaint kaha kare? complaint kaha karu?",Public Grievance
Madam Product defective hai aur replacement nahi mil raha. please guide,Consumer Complaint
"Urgent, Public service delivery problem.",Public Grievance
Madam Ration card not approved. what should I do?,Government Scheme
Sir I cannot afford a lawyer. kaise solve hoga?,Legal Aid
"Please help, Nala block hai complaint karni hai. help me",Municipal Issue
"Please help, I feel unsafe at home. help me",Domestic Violence / Safety
"Urgent, Where can I get free legal aid?",Legal Aid
Aadhaar update problem. help me,Government Scheme
Sir Legal services authority contact kaise kare? what should I do?,Legal Aid
"Please help, PF amount company ne nahi diya. kaise solve hoga?",Labour Dispute
"Please help, Employer is delaying my salary again. complaint kaha karu?",Labour Dispute
Madam Government benefit has not been received. kaise solve hoga?,Government Scheme
Madam I need court help but cannot pay lawyer fees. complaint kaha karu?,Legal Aid
"Urgent, Fraud hua hai police complaint karni hai.",Police Complaint
Bhai I worked but did not receive payment. help me,Labour Dispute
"Urgent, Nala block hai complaint karni hai. what should I do?",Municipal Issue
Bhai My landlord is forcing me to leave. help me,Property Issue
"Urgent, Builder has not given flat possession. complaint kaha karu?",Property Issue
Bhai Income certificate application delayed.,Government Scheme
Sir Ambulance nahi mil rahi hai. kaise solve hoga?,Healthcare Access
"Please help, My husband is threatening me and I am scared. complaint kaha karu?",Domestic Violence / Safety
Officer is not taking action on complaint. kaise solve hoga?,Public Grievance
"Please help, I want to learn Python.",Unknown
"Urgent, Domicile certificate reject ho gaya.",Government Scheme
Madam I want to report cyber crime. please guide,Police Complaint
Bhai Application number hai but no update. complaint kaha karu?,Public Grievance
Sir गली में कचरा पड़ा है। help me,Municipal Issue
Bhai Fake product mila online order mein. complaint kaha karu?,Consumer Complaint
"Urgent, Delivery not received but money got deducted. help me",Consumer Complaint
Madam Income certificate application delayed. help me,Government Scheme
"Urgent, PF amount company ne nahi diya.",Labour Dispute
Sir मुझे three months से वेतन नहीं मिला है। kaise solve hoga?,Labour Dispute
Madam Water supply is dirty in my area. please guide,Municipal Issue
Madam Scholarship nahi mili. help me,Government Scheme
Bhai Product defective hai aur replacement nahi mil raha. please guide,Consumer Complaint
Government office me complaint kaha kare?,Public Grievance
Madam मुझे अस्पताल में भर्ती नहीं कर रहे। complaint kaha karu?,Healthcare Access
Application number hai but no update. complaint kaha karu?,Public Grievance
"Please help, Clinic overcharged me for treatment. please guide",Healthcare Access
Rent agreement issue. help me,Property Issue
Madam Patient ko emergency ward me nahi liya. help me,Healthcare Access
"Urgent, मेरा मोबाइल चोरी हो गया है। help me",Police Complaint
Sir Legal services authority contact kaise kare?,Legal Aid
Sir Road has big potholes. complaint kaha karu?,Municipal Issue
Madam मुझे मुफ्त कानूनी सहायता चाहिए। help me,Legal Aid
Sir Government benefit has not been received. complaint kaha karu?,Government Scheme
Madam Streetlight is not working.,Municipal Issue
"Urgent, DLSA se help kaise milegi? complaint kaha karu?",Legal Aid
Bhai My landlord is forcing me to leave. help me,Property Issue
Income certificate application delayed. please guide,Government Scheme
Madam My service request is pending for long time. help me,Public Grievance
"Urgent, DLSA se help kaise milegi? complaint kaha karu?",Legal Aid
There is violence in my house and I need help. kaise solve hoga?,Domestic Violence / Safety
"Please help, NALSA legal aid ke liye apply kaise kare? help me",Legal Aid
Sir Seller sent wrong product and is ignoring me.,Consumer Complaint
I need advocate help but have no money.,Legal Aid
Madam Government benefit has not been received. kaise solve hoga?,Government Scheme
"Please help, Someone threatened me and I want police help. complaint kaha karu?",Police Complaint
Bhai Scholarship nahi mili. help me,Government Scheme
Sir My service request is pending for long time. kaise solve hoga?,Public Grievance
मुझे one month से वेतन नहीं मिला है। kaise solve hoga?,Labour Dispute
Madam My pension application is pending.,Government Scheme
Madam Government benefit has not been received. complaint kaha karu?,Government Scheme
Madam I cannot afford a lawyer. what should I do?,Legal Aid
Bhai Lease dispute with house owner. please guide,Property Issue
Sir Ration card not approved. complaint kaha karu?,Government Scheme
Bhai Someone threatened me and I want police help. complaint kaha karu?,Police Complaint
My pension application is pending. complaint kaha karu?,Government Scheme
My bike was stolen yesterday. what should I do?,Police Complaint
Sir Land dispute with neighbour. please guide,Property Issue
Government hospital refused admission.,Healthcare Access
Sir I need court help but cannot pay lawyer fees. kaise solve hoga?,Legal Aid
Madam What is the capital of Japan? complaint kaha karu?,Unknown
"Please help, Nala block hai complaint karni hai. kaise solve hoga?",Municipal Issue
Madam I am afraid to go back home.,Domestic Violence / Safety
Madam Service center is not repairing my headphones. kaise solve hoga?,Consumer Complaint
Sir Can poor people get free legal support? help me,Legal Aid
Bhai Public toilet is very dirty. help me,Municipal Issue
Madam Rent agreement issue. help me,Property Issue
"Please help, Public authority is not responding. please guide",Public Grievance
Municipal complaint kaha kare?,Municipal Issue
Madam Boss ne payment rok diya hai. help me,Labour Dispute
"Please help, Public authority is not responding. what should I do?",Public Grievance
"Please help, Government office me complaint kaha kare? help me",Public Grievance
Play some music.,Unknown
Bhai Patient ko emergency ward me nahi liya. complaint kaha karu?,Healthcare Access
"Please help, Delivery not received but money got deducted. complaint kaha karu?",Consumer Complaint
"Please help, Play some music. what should I do?",Unknown
What is the capital of Japan? complaint kaha karu?,Unknown
"Urgent, Domicile certificate reject ho gaya. help me",Government Scheme
Madam I am afraid to go back home. kaise solve hoga?,Domestic Violence / Safety
Madam मेरा मोबाइल चोरी हो गया है। kaise solve hoga?,Police Complaint
"Urgent, Public toilet is very dirty. what should I do?",Municipal Issue
Sir Medicine not available in government hospital. help me,Healthcare Access
"Urgent, सरकारी विभाग जवाब नहीं दे रहा। please guide",Public Grievance
